"MANDT","WAERS","ISOCD","ALTWR","GDATU","XPRIMARY"
"800","SRG","SRG","740","00000000",""
"000","AOA","AOA","973","00000000",""
"800","STD","STD","678","00000000",""
"001","KPW","KPW","408","00000000",""
"000","AON","AON","024","00000000",""
"800","SUR","SUR","","00000000",""
"001","KRW","KRW","410","00000000",""
"000","AOR","AOR","982","00000000",""
"800","SVC","SVC","222","00000000",""
"001","KWD","KWD","414","00000000",""
"000","ARS","ARS","032","00000000",""
"800","SYP","SYP","760","00000000",""
"000","ATS","ATS","040","00000000",""
"800","SZL","SZL","748","00000000",""
"001","KYD","KYD","136","00000000",""
"000","AUD","AUD","036","00000000",""
"800","THB","THB","764","00000000",""
"001","KZT","KZT","398","00000000",""
"000","AWG","AWG","533","00000000",""
"800","TJLP","BND","","00000000",""
"001","LAK","LAK","418","00000000",""
"000","AZM","AZM","031","00000000",""
"800","TJR","TJR","762","00000000",""
"001","LBP","LBP","422","00000000",""
"000","BAM","BAM","977","00000000",""
"800","TJS","TJS","972","00000000",""
"000","BBD","BBD","052","00000000",""
"001","LKR","LKR","144","00000000",""
"800","TMM","TMM","795","00000000",""
"800","ANG","ANG","532","00000000",""
"001","LRD","LRD","430","00000000",""
"800","TND","TND","788","00000000",""
"800","AOA","AOA","973","00000000",""
"001","LSL","LSL","426","00000000",""
"800","TOP","TOP","776","00000000",""
"800","TPE","TPE","626","00000000",""
"800","AON","AON","024","00000000",""
"001","LTL","LTL","440","00000000",""
"800","TRL","TRL","792","00000000",""
"001","LUF","LUF","442","00000000",""
"800","AOR","AOR","982","00000000",""
"800","TTD","TTD","780","00000000",""
"001","LVL","LVL","428","00000000",""
"800","ARS","ARS","032","00000000",""
"800","TWD","TWD","901","00000000",""
"001","LYD","LYD","434","00000000",""
"800","ATS","ATS","040","00000000",""
"800","TZS","TZS","834","00000000",""
"001","MAD","MAD","504","00000000",""
"800","AUD","AUD","036","00000000","X"
"800","UAH","UAH","980","00000000",""
"001","MDL","MDL","498","00000000",""
"001","MGA","MGA","969","00000000",""
"800","AWG","AWG","533","00000000",""
"800","UAK","UAK","","00000000",""
"001","MGF","MGF","450","00000000",""
"800","AZM","AZM","031","00000000",""
"800","UGS","UGS","","00000000",""
"001","MKD","MKD","807","00000000",""
"800","BAM","BAM","977","00000000",""
"800","UGX","UGX","800","00000000",""
"800","BBD","BBD","052","00000000",""
"800","UNI","UNI","","99991231",""
